assessment,attribute,coverage_raw,coverage,att_dimension,category,hover_tile,hover_rationale,hover_attribute
ERA,Access to economic opportunity,0,0,Socio-economic,Livelihood,No relevant ERA indicators,,Physical (e.g. transportation network) and non-physical (e.g. social relations) means and processes that enable individuals and communities to benefit from new or alternative income-earning or subsistence activities.
SRA,Access to economic opportunity,11,3,Socio-economic,Livelihood,Strong coverage in the SRA,": see SRA 1.1.2a, SRA 1.1.5, SRA 2.2.1, SRA 3.2.1, SRA 3.2.4, SRA 3.2.5",Physical (e.g. transportation network) and non-physical (e.g. social relations) means and processes that enable individuals and communities to benefit from new or alternative income-earning or subsistence activities.
ERA + SRA,Access to economic opportunity,11,3,Socio-economic,Livelihood,Strong coverage when combining ERA+SRA,": see SRA 1.1.2a, SRA 1.1.5, SRA 2.2.1, SRA 3.2.1, SRA 3.2.4, SRA 3.2.5",Physical (e.g. transportation network) and non-physical (e.g. social relations) means and processes that enable individuals and communities to benefit from new or alternative income-earning or subsistence activities.
ERA,Access to knowledge,2,2,Socio-economic,Learning,Medium coverage by an ERA indicator,: see ERA 3.2.2,The ability of individuals and communities to obtain and derive benefit from existing knowledge about the system.
SRA,Access to knowledge,6,3,Socio-economic,Learning,Strong coverage in the SRA,": see SRA 1.1.4, SRA 1.1.8, SRA 2.1.2, SRA 3.1.3, SRA 3.2.5",The ability of individuals and communities to obtain and derive benefit from existing knowledge about the system.
ERA + SRA,Access to knowledge,8,3,Socio-economic,Learning,Strong coverage when combining ERA+SRA,": see ERA 3.2.2, SRA 1.1.4, SRA 1.1.8, SRA 2.1.2, SRA 3.1.3, SRA 3.2.5",The ability of individuals and communities to obtain and derive benefit from existing knowledge about the system.
ERA,Accountable,2,2,Governance,Just,Medium coverage by an ERA indicator,": see ERA 3.2.4, ERA 3.1.1","The degree to which decisions and decision makers can be held culpable to both the individuals and communities that they govern as well as to higher-level mandates, commitments, goals, and objectives they serve (Battista et al., 2019; Lebel et al., 2006; Ostrom, 1990)."
SRA,Accountable,0,0,Governance,Just,No relevant SRA indicators at the broad scale *but reassess,": There are no broader governance level accountability indicators but there are accountability indicators in relation to the employer see SRA 1.1.1, SRA 1.1.2a, SRA 2.1.1.","The degree to which decisions and decision makers can be held culpable to both the individuals and communities that they govern as well as to higher-level mandates, commitments, goals, and objectives they serve (Battista et al., 2019; Lebel et al., 2006; Ostrom, 1990)."
ERA + SRA,Accountable,2,2,Governance,Just,Medium coverage when combining the ERA+SRA,": see ERA 3.2.4, ERA 3.1.1, and SRA 1.1.1, SRA 1.1.2a, SRA 2.1.1 in relation to employer practices.","The degree to which decisions and decision makers can be held culpable to both the individuals and communities that they govern as well as to higher-level mandates, commitments, goals, and objectives they serve (Battista et al., 2019; Lebel et al., 2006; Ostrom, 1990)."
ERA,Adaptive,1,1,Governance,Dynamic,Weak coverage by an ERA indicator,: see ERA 3.2.4,"The capacity to implement a structured, iterative process of continual innovation, testing, learning and adjustment that facilitates robust, flexible decision-making and action in the face of uncertainty and complexity."
SRA,Adaptive,1,1,Governance,Dynamic,Weak coverage by an SRA indicator,: see SRA 1.1.5,"The capacity to implement a structured, iterative process of continual innovation, testing, learning and adjustment that facilitates robust, flexible decision-making and action in the face of uncertainty and complexity."
ERA + SRA,Adaptive,2,2,Governance,Dynamic,Medium coverage when combining the ERA+SRA,": see ERA 3.2.4, SRA 1.1.5","The capacity to implement a structured, iterative process of continual innovation, testing, learning and adjustment that facilitates robust, flexible decision-making and action in the face of uncertainty and complexity."
ERA,Age structure,3,3,Ecological,Fish capital,Strong coverage in the ERA,: see ERA 1.1.1 where the stock status outcome measures age structure. ,The age distribution of individuals within a population.
SRA,Age structure,0,0,Ecological,Fish capital,No relevant SRA indicators,,The age distribution of individuals within a population.
ERA + SRA,Age structure,3,3,Ecological,Fish capital,Strong coverage when combining ERA+SRA,: see ERA 1.1.1 where the stock status outcome measures age structure.,The age distribution of individuals within a population.
ERA,Agency,0,0,Socio-economic,Human,No relevant ERA indicators,,"The capacity of individuals and communities to negotiate, make decisions, and act on their own free will."
SRA,Agency,10,3,Socio-economic,Human,Strong coverage in the SRA,": see SRA 1.1.1, SRA 1.1.3, SRA 1.1.4, SRA 1.1.7a, SRA 1.1.7b, SRA 3.1.2, SRA 3.2.5","The capacity of individuals and communities to negotiate, make decisions, and act on their own free will."
ERA + SRA,Agency,10,3,Socio-economic,Human,Strong coverage when combining ERA+SRA,": see SRA 1.1.1, SRA 1.1.3, SRA 1.1.4, SRA 1.1.7a, SRA 1.1.7b, SRA 3.1.2, SRA 3.2.5","The capacity of individuals and communities to negotiate, make decisions, and act on their own free will."
ERA,Diversity of knowledge sources,8,3,Socio-economic,Learning,Strong coverage in the ERA,": see ERA 1.2.3, ERA 1.2.4, ERA 2.4.3, ERA 3.1.2, ERA 2.5.3, ERA 2.2.3, ERA 2.3.3",The variety of types and origins of knowledge that are available to individuals and members of the community.
SRA,Diversity of knowledge sources,0,0,Socio-economic,Learning,No relevant SRA indicators,,The variety of types and origins of knowledge that are available to individuals and members of the community.
ERA + SRA,Diversity of knowledge sources,8,3,Socio-economic,Learning,Strong coverage when combining ERA+SRA,": see ERA 1.2.3, ERA 1.2.4, ERA 2.4.3, ERA 3.1.2, ERA 2.5.3, ERA 2.2.3, ERA 2.3.3",The variety of types and origins of knowledge that are available to individuals and members of the community.
ERA,Economic diversity,0,0,Socio-economic,Livelihood,No relevant ERA indicators,,"The variety of income earning activities that an individual, household, or community can partake in."
SRA,Economic diversity,2,2,Socio-economic,Livelihood,Medium coverage by an SRA indicator- *Potentially reassess,: see SRA 3.2.4 where having more than one local fish buyer is related to economic diversity but does not fully indicate a variety of income earning activities within or outside the fishery.,"The variety of income earning activities that an individual, household, or community can partake in."
ERA + SRA,Economic diversity,2,2,Socio-economic,Livelihood,Medium coverage when combining the ERA+SRA- *Potentially reassess,: see SRA 3.2.4 where having more than one local fish buyer is related to economic diversity but does not fully indicate a variety of income earning activities within or outside the fishery.,"The variety of income earning activities that an individual, household, or community can partake in."
ERA,Ecosystem connectivity,1,1,Ecological,Ecosystem,Weak coverage by an ERA indicator,: see ERA 2.5.1 where the indicator ensures that fishery does not harm ecosystem connectivity but does not capture other threats to connectivity.,"A functional network of connected and unfragmented ecosystem components, which provide greater opportunities for movement, migration, and changes in distribution, are essential to the resilience of a population if the loss of an ecosystem component due to climate associated impacts or an ecosystem shock occurs. Strong connectivity supports ecosystem function and the movement or regeneration of nutrients, energy, and organisms (Kinlan and Gaines 2003)."
